slide_id,description,reference_images,template_image,element_table
slide_001,Slide with treatment information and image,slide_001_ref_01.png,slide_001.png,slide_001.csv
slide_002,Slide with treatment information and medical image,slide_002_ref_01.png,slide_002.png,slide_002.csv
slide_003,Slide with treatment information and image,slide_003_ref_01.png,slide_003.png,slide_003.csv
slide_004,Slide showing a diagram of the cell cycle with clickable icons.,slide_004_ref_01.png,slide_004.png,slide_004.csv
slide_005,Slide showing cell cycle diagram with G1 phase popup,slide_005_ref_01.png,slide_005.png,slide_005.csv
slide_006,Slide with popup about G2 phase and diagram with buttons,slide_006_ref_01.png,slide_006.png,slide_006.csv
slide_007,Slide showing cell cycle diagram with G2 phase popup,slide_007_ref_01.png,slide_007.png,slide_007.csv
slide_008,Popup with information about the Mitotic Phase,slide_008_ref_01.png,slide_008.png,slide_008.csv
slide_009,Popup with information about the Mitotic Phase,slide_009_ref_01.png,slide_009.png,slide_009.csv
slide_010,Slide with image of patient and text about cell cycle checkpoints,slide_010_ref_01.png,slide_010.png,slide_010.csv
slide_011,Slide with cell cycle diagram and interactive buttons,slide_011_ref_01.png,slide_011.png,slide_011.csv
slide_012,Slide with popup about apoptosis and a diagram,slide_012_ref_01.png,slide_012.png,slide_012.csv
slide_013,Slide showing cell cycle diagram with G1 checkpoint popup,slide_013_ref_01.png,slide_013.png,slide_013.csv
slide_014,Slide with cell cycle diagram and G2 Checkpoint popup,slide_014_ref_01.png,slide_014.png,slide_014.csv
slide_015,Slide with cell cycle diagram and M Checkpoint popup,slide_015_ref_01.png,slide_015.png,slide_015.csv
slide_016,Slide with cell cycle diagram and apoptosis popup,slide_016_ref_01.png,slide_016.png,slide_016.csv
slide_017,Slide with cell cycle diagram and information popup,slide_017_ref_01.png,slide_017.png,slide_017.csv
slide_018,Slide with cell cycle diagram and G2 Checkpoint popup,slide_018_ref_01.png,slide_018.png,slide_018.csv
slide_019,Slide showing cell cycle diagram with G1 checkpoint popup,slide_019_ref_01.png,slide_019.png,slide_019.csv
slide_020,Slide with treatment information and image,slide_020_ref_01.png,slide_020.png,slide_020.csv
slide_021,Slide with image and text about Allie's treatment case,slide_021_ref_01.png,slide_021.png,slide_021.csv
slide_022,Slide showing a diagram of the cell cycle with clickable icons.,slide_022_ref_01.png,slide_022.png,slide_022.csv
slide_023,Slide showing cell cycle diagram with G1 phase popup,slide_023_ref_01.png,slide_023.png,slide_023.csv
slide_024,Slide with cell cycle diagram and popup for S Phase,slide_024_ref_01.png,slide_024.png,slide_024.csv
slide_025,Slide with diagram and popup about G2 phase,slide_025_ref_01.png,slide_025.png,slide_025.csv
slide_026,Slide with popup about the Mitotic Phase,slide_026_ref_01.png,slide_026.png,slide_026.csv
slide_027,Slide with information about the Mitotic Phase in the cell cycle.,slide_027_ref_01.png,slide_027.png,slide_027.csv
slide_028,slide with a microscopic image,slide_028_ref_01.png,slide_028.png,slide_028.csv
slide_029,Slide showing cell cycle diagram with popup for G1 phase,slide_029_ref_01.png,slide_029.png,slide_029.csv
slide_030,Slide showing cell cycle with interactive elements and popup.,slide_030_ref_01.png,slide_030.png,slide_030.csv
slide_031,Slide with cell cycle diagram and G2 phase popup,slide_031_ref_01.png,slide_031.png,slide_031.csv
slide_032,Slide with text about cell cycle concepts and conclusion,slide_032_ref_01.png,slide_032.png,slide_032.csv
slide_033,Slide with image of a person sitting on a medical examination table and text about cell cycle checkpoints.,slide_033_ref_01.png,slide_033.png,slide_033.csv
slide_034,Slide showing cell cycle diagram with G1 checkpoint popup,slide_034_ref_01.png,slide_034.png,slide_034.csv
slide_035,Slide showing cell cycle with G2 checkpoint details,slide_035_ref_01.png,slide_035.png,slide_035.csv
slide_036,Slide showing cell cycle diagram with popup information about M Checkpoint.,slide_036_ref_01.png,slide_036.png,slide_036.csv
slide_037,Slide showing cell cycle diagram with interactive buttons,slide_037_ref_01.png,slide_037.png,slide_037.csv
slide_038,Slide showing cell cycle diagram with interactive buttons,slide_038_ref_01.png,slide_038.png,slide_038.csv
slide_039,Slide with popup about apoptosis and cell cycle diagram,slide_039_ref_01.png,slide_039.png,slide_039.csv
slide_040,Slide with cell cycle diagram and information popup,slide_040_ref_01.png,slide_040.png,slide_040.csv
slide_041,Slide with image and text about Allie's treatment,slide_041_ref_01.png,slide_041.png,slide_041.csv
slide_042,Slide with vocabulary popup about cell cycle phases,slide_042_ref_01.png,slide_042.png,slide_042.csv
slide_043,Slide with cell cycle diagram and popup instructions,slide_043_ref_01.png,slide_043.png,slide_043.csv
slide_044,Slide with cell cycle diagram and popups for G1 and G2 checkpoints,slide_044_ref_01.png,slide_044.png,slide_044.csv
slide_045,Slide showing cell cycle diagram with interactive buttons and popup.,slide_045_ref_01.png,slide_045.png,slide_045.csv
slide_046,Slide with apoptosis information and diagram,slide_046_ref_01.png,slide_046.png,slide_046.csv
slide_047,Slide with a question about the G1 checkpoint and multiple-choice answers.,slide_047_ref_01.png,slide_047.png,slide_047.csv
slide_048,Slide showing cell cycle diagram with interactive buttons.,slide_048_ref_01.png,slide_048.png,slide_048.csv
slide_049,Slide showing cell cycle with G1 phase popup,slide_049_ref_01.png,slide_049.png,slide_049.csv
slide_050,Slide showing cell cycle diagram with interactive buttons and popup.,slide_050_ref_01.png,slide_050.png,slide_050.csv
slide_051,Slide with image and text about Allie's treatment,slide_051_ref_01.png,slide_051.png,slide_051.csv
slide_052,Slide with image and treatment questions,slide_052_ref_01.png,slide_052.png,slide_052.csv
slide_053,Slide showing cell cycle diagram with instructional text,slide_053_ref_01.png,slide_053.png,slide_053.csv
slide_054,Slide showing cell cycle diagram with G1 phase popup,slide_054_ref_01.png,slide_054.png,slide_054.csv
slide_055,Slide with cell cycle diagram and popup explanation,slide_055_ref_01.png,slide_055.png,slide_055.csv
slide_056,Slide with popup about G2 phase and cell cycle diagram,slide_056_ref_01.png,slide_056.png,slide_056.csv
slide_057,Slide with cell cycle diagram and G2 phase popup,slide_057_ref_01.png,slide_057.png,slide_057.csv
slide_058,Slide with popup about the Mitotic Phase,slide_058_ref_01.png,slide_058.png,slide_058.csv
slide_059,Slide with popup showing playback speed options,slide_059_ref_01.png,slide_059.png,slide_059.csv
slide_060,Slide with image and text about cell cycle checkpoints,slide_060_ref_01.png,slide_060.png,slide_060.csv
slide_061,Slide showing cell cycle diagram with G1 checkpoint details,slide_061_ref_01.png,slide_061.png,slide_061.csv
slide_062,Slide with cell cycle diagram and G2 Checkpoint popup,slide_062_ref_01.png,slide_062.png,slide_062.csv
slide_063,Slide showing cell cycle with popup information on M Checkpoint,slide_063_ref_01.png,slide_063.png,slide_063.csv
slide_064,Slide with diagram and popup about apoptosis,slide_064_ref_01.png,slide_064.png,slide_064.csv
slide_065,Slide with popup about apoptosis and cell cycle diagram,slide_065_ref_01.png,slide_065.png,slide_065.csv
slide_066,Slide with cell cycle diagram and information popup,slide_066_ref_01.png,slide_066.png,slide_066.csv
slide_067,Slide with cell cycle diagram and checkpoints,slide_067_ref_01.png,slide_067.png,slide_067.csv
slide_068,Slide with cell cycle diagram and popup information,slide_068_ref_01.png,slide_068.png,slide_068.csv
